Timestamp,1) What is your age in years?,2) What is your gender?,3) For which company you are currently working?,4) Which of the following disciplines best describes your job role?,5)In which country you are currently working?,"6) How long have you been working professionally, including your current job? Please enter number in years.",7)  How long have you analyzed the data? Please enter number in years.,8) What is the highest degree you have been completed?,9) What is your educational background. (required)*,10) Have you ever attend any workshop? Please specify the name.,11) Why you choose a Data Scientist job.(Motivation behind choosing data science),12) Please check all that apply. (required)*,"13)	Please rank your skills [Algorithms (ex: computational complexity, CS theory)]","13)	Please rank your skills [Back-End Programming (ex: JAVA/Rails/.NET)]","13)	Please rank your skills [Bayesian/Monte-Carlo Statistics (ex: MCMC, BUGS)]","13)	Please rank your skills [Big and Distributed Data (ex: Hadoop, HBase, Cosmos, Map/Reduce)]","13)	Please rank your skills [Business (ex: management, business development, budgeting)]","13)	Please rank your skills [Classical Statistics (ex: general linear model, ANOVA)]","13)	Please rank your skills [Data Manipulation (ex: regexes, R, SAS, web scraping)]","13)	Please rank your skills [Front-End Programming (ex: JavaScript, HTML, CSS, ASP)]","13)	Please rank your skills [Graphical Models (ex: social networks, Bayes networks)]","13)	Please rank your skills [Machine Learning (ex: decision trees, neural nets, SVM, clustering)]","13)	Please rank your skills [Math (ex: linear algebra, real analysis, calculus)]","13)	Please rank your skills [Optimization (ex: linear, integer, convex, global)]","13)	Please rank your skills [Product Development (ex: design, project management)]","13)	Please rank your skills [Science (ex: experimental design, technical writing/publishing)]","13)	Please rank your skills [Simulation (ex: discrete, agent-based, continuous)]","13)	Please rank your skills [Spatial Statistics (ex: geographic covariates, GIS)]","13)	Please rank your skills [Structured Data (ex: SQL, JSON, XML)]","13)	Please rank your skills [Surveys and Marketing (ex: multinomial modeling)]","13)	Please rank your skills [Systems Administration (ex: *nix, DBA, cloud tech.)]","13)	Please rank your skills [Temporal Statistics (ex: forecasting, time-series analysis)]","13)	Please rank your skills [Unstructured Data (ex: noSQL, text mining)]","13)	Please rank your skills [Visualization (ex: statistical graphics, mapping, web-based viz)]","14.1)In week how many hours you spend on ""Query databases for existing data"".","14.2)In week how many hours you spend on  ""Build platforms to collect data and/or instrument code to gather data""","14.3)In week how many hours you spend on  ""Prepare data: manipulating the data to fit your analytic needs, e.g., data merging, cleaning, data shaping""","14.4)In week how many hours you spend on  ""Analyze data: statistics, machine learning, data mining, etc""","14.5)In week how many hours you spend on  ""Experiment: build capability and/or run experiments to test alternative designs""","14.6)In week how many hours you spend on  ""Validate insight: check that analysis results are correct""","14.7)In week how many hours you spend on  ""Disseminate insight: prepare presentations, write reports, create visualizations""","14.7)In week how many hours you spend on  ""Engage with others about data and analysis: attend meetings, brown bags, etc.""","14.8)In week how many hours you spend on  ""Operationalize insight: operationalize models, define automated actions, triggers based on models""","14.9)In week how many hours you spend on  ""Act on insight: make decision based on data""","14.10)In week how many hours you spend on  ""Other work activities related to data science""","14.11)In week how many hours you spend on  ""Other work activities not related to data science""","15)	Let us know if any important activity we miss in previous question [14].",16)  What tools do you use for your data science tasks?,17) What challenges do you frequently face when doing data science?,"18) How could your education background can help you in data science field?For example , i am with a computer science background and it will help in programming.","19) which sort of problem you face in your job with your educational background ?For example , i am Statistician and i face difficulty in programming.","20)Do you have access to the following data? [Business data (e.g., purchases, transactions)]","20)Do you have access to the following data? [Customer usage of the product (e.g., SQMdata, feature usage, game play data)]","20)Do you have access to the following data? [Execution behavior of the product (e.g.,crashes, performance data, load balancing)]","20)Do you have access to the following data? [Engineering data of the product (e.g., check-ins, work items, code reviews)]",21) Which of the following standard framework your teams use for gathering data? Check all that apply.,22) How we can improve this Survey?
2019/04/28 5:53:32 pm GMT+5,29,Male,"Upwork, Truelancer, Workana, Spare5, Fiverr",Data & Applied Science,United States,13,2,Bachelor's degree (3 or 4 year university),English and History,No,"I thought it would be a fun thing to try out. So far, it is! Although I've gotta be honest, I was hoping for more challenging questions.",I analyze product and customer data.;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders,2,1,1,3,5,4,4,3,4,2,3,4,5,5,2,1,1,4,2,4,4,3,5,2,15,10,4,4,9,2,0,1,3,12,,[SQL;Excel;Azure ML,"I would have to say, scraping the data. It's often difficult to find all of the data that is required to complete the project.","It definitely helps with my attention to detail. I never miss a single thing because I'm always, constantly searching for a mistake.",I'm a creative writer and I suffer from writer's block.,Yes,No,Yes,No,Windows Events;SQM;Azure MDS,Make the questions more challenging so someone can't just bs their way getting the job.
2019/04/28 6:00:28 pm GMT+5,37,Male,Center for artificial intelligence and machine learning ,Data & Applied Science,Asia: India,9,4,Master's Degree (graduate degree),Supply chain and logistics ,Thomas international ppa,Like to analyse businesses and get outcomes for business to grow,"I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I communicate results and insights to business leaders",3,1,4,3,5,4,4,1,4,4,4,4,4,2,2,2,4,4,2,4,5,4,15,10,10,10,10,10,10,5,5,7,20,3,,R;[SQL;Excel;Azure ML;Python;Weka,Identifying results,"Supply chain and logistics, sales and marketing strategies for a company ",Applying machine learning algorithms ,Yes,Yes,Yes,Yes,Other:,Based on languages and data science flow from etl to transformation 
2019/04/28 6:15:21 pm GMT+5,39,Male,Freelance,Other:,Asia: Pakistan,10,10,Master's Degree (graduate degree),Computer Science,Several workshops in early career,Experience,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders;I manage one or more data scientists,3,4,1,1,3,2,5,5,5,3,3,3,3,4,2,2,5,2,2,1,3,3,3,10,10,3,3,3,3,0,0,2,3,5,"Well, I'm full stack developer with specialty in front end","[SQL;Excel;C, C++, C#;angular x, bootstrap x, js, ts, css, scss, html5, php, mysql, .Net, c#, illustrator etc etc",connectivity,it helped build clear concepts especially how data is stored and how computer works basically and binary operations and decision trees etc. Also helps in making rdbms models with normalization.,"Not really, I'm happy with my work and skills and working fine thanks to God, and yes sometime I face problem and find out reference from w3schools or stackoverflow, great sites.",Yes,Yes,Yes,Yes,I don't know,By minimizing questions and explain role you want to play an applicant so that he understand in very beginning whether if can serve you people or not.
2019/04/28 6:24:55 pm GMT+5,29,Male,samsung india banglore ,Software Engineering.,Asia: India,1,1,Bachelor's degree (3 or 4 year university),Computer Science,yes ,Love with Data,"I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders;I manage one or more data scientists",5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,30,34,34,39,24,18,32,34,24,24,34,23,NA,SPSS;JMP;Matlab;[SQL,Techincal challanges, i am with a computer science background and it will help in programming. *, i am with a computer science background and it will help in programming. *,Yes,Yes,Yes,Yes,Windows Events,
2019/04/28 6:29:32 pm GMT+5,23,Female,Amazing Solution concept,Data & Applied Science,Africa,2,3,Bachelor's degree (3 or 4 year university),Statistics,No,It's my course of study and I have come to love it,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders,2,2,3,3,3,5,4,3,3,4,5,3,2,5,4,2,1,4,2,5,2,5,0,0,5,10,0,2,5,4,0.5,3,3,5,,R;SPSS;Excel,Client not providing the required information to ,"I am a graduate of Statistics, my background helps in data science ",Programming languages,No,No,No,No,I don't know,
2019/04/28 6:31:23 pm GMT+5,36,Male,SAESA,Software Engineering.,Chile,14,2,Bachelor's degree (3 or 4 year university),Engineering,"Mobile World Congress(Barcelona), Developer Week(Oakland), Tecnilogia Informacion Energia(Madrid), CES(Vegas), global artificial intelligence conference(Santa Clara), Distributech(San Antonio)","When the data analysis has a specific purpose, such as creating a predictive model, I find it fascinating to carry out that process.","I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders;I manage one or more data scientists",5,5,4,5,5,4,5,5,4,5,4,4,5,4,3,4,5,4,5,5,5,5,5,5,3,5,5,5,3,4,3,5,0,3,,"[SQL;Excel;Office BI;Azure ML;C, C++, C#;Python;WATSON",The biggest challenges are 1) gather the necessary information 2) debug the information found. additional to this stay updated with the tools,"I'm an Informatics Engineer, effectively helping to have a knowledge base related to programming tools and databases.",No,Yes,Yes,Yes,Yes,Azure Event Hub;Other:,
2019/04/28 6:39:45 pm GMT+5,35,Male,Freelancer,Data & Applied Science,Asia: India,9.6,9.6,Master's Degree (graduate degree),Statistics,"Yes, Data Science Workshop held in 2017 in Delhi",Best job in the industry based on my education,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders;I manage one or more data scientists,3,1,5,2,5,5,5,1,5,5,5,5,5,4,5,4,3,4,1,5,5,5,5,1,30,40,5,10,15,5,5,5,10,10,Activities spent on finding out projects and preparing POCs to reach out to Clients for projects,R;SPSS;[SQL;Excel;Python,Missing Data handling,I am statistician and it has helped a lot in Data Science,Not much problems,Yes,No,Yes,Yes,Windows Events;Azure MDS,Please make it a little shorter
2019/04/28 6:40:38 pm GMT+5,31,Female,Central University of Venezuela UCV,Data & Applied Science,Venezuela ,4,1,Bachelor's degree (3 or 4 year university),Mathematics or Applied Mathematics,No,"Because I find it interesting to get information from the data, I also like programming and discover patterns",I build predictive models from the data,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,4,0,12,8,8,3,4,2,4,4,6,3,,R;Matlab;[SQL;Python;Knime,Extration and cleaning,With math and programming skill ,"English, I speak spanish",No,No,No,No,I don't know,
2019/04/28 6:41:54 pm GMT+5,49,Male,independant,Data & Applied Science,Madagascar,20,2,PhD (graduate degree),Physics Sciences,No workshop,for the challenge and the beauty of the results,I analyze product and customer data.;I build predictive models from the data,4,3,5,4,1,4,4,4,3,4,5,3,3,5,4,3,5,3,5,2,5,5,2,0,0,4,0,0,0,0,0,0,5,10,,[SQL;Python,not applicable,I have a scientifically background,finance meaning,No,Don't Know,Don't Know,Don't Know,I don't know,
2019/04/28 6:51:15 pm GMT+5,36,Male,Abuqir Fertilizers,Software Engineering.,Egypt,13,2,Bachelor's degree (3 or 4 year university),Engineering,"Yes; Maths in industry, Singapore 2017",It's the industry of the future. Everything is going to be data driven.,I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis,4,5,3,2,4,4,5,4,3,2,4,3,3,3,3,3,5,1,2,3,5,5,10,30,5,10,5,5,10,5,5,5,7,7,no,"Minitab;[SQL;Excel;C, C++, C#;Python",Optimizing appropriate models,I am an automation engineer. It helps me in building new smart automation and control techniques.,Inducing maths formulas sometimes is exhausting.,Yes,Yes,Yes,Yes,Other:,I think it's perfect.
2019/04/28 6:57:31 pm GMT+5,22,Male,Mount Kenya University ,Data & Applied Science,Africa,3,3,Bachelor's degree (3 or 4 year university),Statistics,Statistician and Data analyst summit for future of data analyst projection,I need to extract meaningful information out of big data. ,"I analyze product and customer data.;I build predictive models from the data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I communicate results and insights to business leaders;I manage one or more data scientists",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,1,16,79,10,20,3,3,3,3,6,0,Survey design and analysis ,"R;SPSS;Matlab;Minitab;Excel;Azure ML;C, C++, C#;Python",Time is limited ,Being a statistician I understand more of model fittings and evaluation. ,I face a problem in app design for Data collection but I have an alternative for web crawling. ,Yes,Yes,Yes,Yes,Windows Events;SQM;Azure Event Hub;Azure MDS,You can have education grades of qualifications. 
2019/04/28 6:57:44 pm GMT+5,44,Male,GENERAL ELECTRIC,Software Engineering.,Asia: India,19,11,Master's Degree (graduate degree),Computer Science,GIDS,My passion,"I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders;I manage one or more data scientists",1,1,2,2,3,2,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,30,30,40,40,40,30,10,10,42,42,42,0,,"R;[SQL;Excel;Python;tensorflow, keras, scikit learn",data quality dimensions,"maths, data science , software architect",business domain,Yes,Yes,Yes,Yes,Other:,
2019/04/28 7:06:31 pm GMT+5,20,Male,Currently I am working on Data in MAFC Institute.,Data & Applied Science,Asia: Other,5,4,Secondary school degree (high school) or less,Computer Science,yes. MAFC COMPUTER TRAINING CENTER.,So I can do this kind of work.,I analyze product and customer data.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,4,4,28,6,28,30,30,30,30,30,30,OK. thanks,"Excel;word, access etc.",Various types of data mix.,I work on Microsoft and it is used to process and process information.,I do not have any problem.,Yes,Yes,No,Yes,Windows Events,Know well.
2019/04/28 7:19:49 pm GMT+5,36,Male,Higher Education ,Other:,Asia: Pakistan,14,14,M.Phil (18 years Education),Statistics,Project preparation and Project Management ,I am statistician and this our basic field. I have done M.Phil degree in statistics with specialization in Time Series Analysis. I am passionate to do Data Analysis and play with the figures,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I communicate results and insights to business leaders,1,1,1,1,4,5,4,1,1,2,3,1,4,4,1,2,1,3,1,5,1,4,5,2,3,5,1,0,7,4,0,5,9,5,,R;SPSS;Minitab;Excel;Gretl,"Availability of Data, Data Softwares, Time Management, Other Assignments  ",I am a statistician and Know statistical analysis and data modeling  ,I am statistician and I face difficulty in programming,Yes,Yes,Don't Know,Don't Know,Other:,By adding other relevant questions. By breaking down the survey in parts related to specific subjects   
2019/04/28 7:22:14 pm GMT+5,27,Male,Amazon,Data & Applied Science,Asia: India,4,4,Bachelor's degree (3 or 4 year university),Computer Science,YES.,Awesome Salary.,"I build data engineering platforms to collect and process a large quantity of data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data",4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,3,4,3,4,4,10,4,4,4,4,4,4,4,4,4,4,10,NO,R;Excel;Azure ML;TLC;Python,Nothing,I am a Data Scientist.,NA,Yes,Yes,Yes,Yes,Windows Events;Azure Event Hub;Azure MDS,Nothing
2019/04/28 7:22:25 pm GMT+5,27,Female,Ratio International Trading Company ,Data & Applied Science,United Kingdom,4,7,Master's Degree (graduate degree),Statistics,DOERS,Because I loved statistics and the data science methods at the university. I really like that moment when it turns out what is hidden in the data. ,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders,2,1,2,1,5,5,5,1,1,3,5,1,5,1,4,1,5,5,1,5,3,5,5,6,10,7,0,2,5,1,1,1,1,1,,R;Excel;Python,"Databases are a mess, and it's hard to combine the data","I've studied a lot of mathematical basics, for example linear algebra and analysis, probability, statistics, and the multivariate versions of them. They will help me in the data modelling and the statistical tests. I've learned script based analysis with R and SPSS, and later with Python as well which helps me to automatize the data preparing, cleaning, and the analysis if it's finalized. I also studied social science where I've learnt qualitative and quantitative methods for gát hering information from the customers which is helpful if we need to combine big data with the opinions and pull more detailed insights. ",I only learned R at the university while this language has its limitations. This is why I have started to learn Python. I am always trying to improve those skills I'm not satisfied with. ,Yes,No,Yes,No,Other:,
2019/04/28 7:25:26 pm GMT+5,25,Male,Left current company,Other:,india,3,1,Bachelor's degree (3 or 4 year university),Computer Science,no,I'm passionate of working with huge data.,I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis,2,2,2,2,1,2,4,4,2,2,3,3,2,2,1,1,4,3,3,3,4,2,15,20,20,10,1,5,10,10,5,5,5,2,no,[SQL;Excel;SAS,analyzing data,"As I m computer engineer, it was easy to learn tools.","Sometime I m not sure, whether the solution provided by me to client is perfect or not.",No,No,Yes,Don't Know,Other:,
2019/04/28 7:37:53 pm GMT+5,30,Female,Freelance,Data & Applied Science,Asia: Other,5,5,Master's Degree (graduate degree),Mathematics or Applied Mathematics,Unnes workshop,"Experience as Business Analyst for 5yr, and i want to apply my knowledge",I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders;I manage one or more data scientists,1,1,1,1,5,5,4,1,2,1,4,4,5,5,5,4,1,4,1,4,1,5,0,2,6,16,1,4,4,2,1,2,2,0,"Right now, iam freelance so, answer for number 14 is my average yours to do my past job as a Business Analyst.",R;SPSS;Matlab;Excel,"When doing data science we need to extract from big data to small data, i think i need a good tools that can manage big data (since Excel just have max +/- 1million row)","Iam business analyst, mathematician,also statistician. I can help with projects management, Statistical analysis, mathematic Programming and also im sure i can understand programming.","Iam mathematician and also statistician, i face difficult in programming, since i never deep learn about that.",Yes,No,Yes,Yes,I don't know,Need question about past experience
